strategy,arrival_rate,node_count,throughput_tps,avg_latency,p95_latency,p99_latency,mean_load_variance
none,60,20,59.72666666666667,3.25,3.25,3.25,0.0
static,60,20,60.68666666666667,3.25,3.25,3.25,0.0
dynamic,60,20,59.666666666666664,3.3,3.3000000000000114,3.3000000000000114,0.0
none,60,40,60.20333333333333,3.4100000000000046,3.410000000000025,3.410000000000025,0.0
static,60,40,59.52,3.410000000000005,3.410000000000025,3.410000000000025,0.0
dynamic,60,40,60.416666666666664,3.468,3.4680000000000177,3.4680000000000177,0.0
none,60,60,60.17,3.5700000000000025,3.57000000000005,3.57000000000005,0.0
static,60,60,59.64333333333333,3.570000000000003,3.57000000000005,3.57000000000005,0.0
dynamic,60,60,59.83,3.636000000000004,3.636000000000024,3.636000000000024,0.0
none,60,80,59.84166666666667,3.730000000000009,3.730000000000018,3.730000000000018,0.0
static,60,80,60.098333333333336,3.7300000000000084,3.730000000000018,3.730000000000018,0.0
dynamic,60,80,59.711666666666666,3.803999999999985,3.804000000000002,3.804000000000002,0.0
none,120,20,99.0,56.01281144781145,103.25,108.25,0.0
static,120,20,120.22666666666667,3.25,3.25,3.25,0.0
dynamic,120,20,119.53166666666667,3.3000000000000003,3.3000000000000114,3.3000000000000114,0.0
none,120,40,98.0,59.28675170068029,111.40999999999997,115.40999999999997,0.0
static,120,40,119.87666666666667,3.410000000000004,3.410000000000025,3.410000000000025,0.0
dynamic,120,40,119.64,3.468,3.4680000000000177,3.4680000000000177,0.0
none,120,60,97.0,60.753625429553246,113.57000000000005,117.57000000000005,0.0
static,120,60,120.8,3.5700000000000025,3.57000000000005,3.57000000000005,0.0
dynamic,120,60,120.22833333333334,3.6360000000000037,3.636000000000024,3.636000000000024,0.0
none,120,80,97.0,61.40817869415808,113.73000000000002,119.73000000000002,0.0
static,120,80,120.595,3.730000000000009,3.730000000000018,3.730000000000018,0.0
dynamic,120,80,119.86666666666666,3.803999999999986,3.804000000000002,3.804000000000002,0.0
none,180,20,99.0,137.6778787878788,259.25,271.25,0.0
static,180,20,180.35333333333332,3.25,3.25,3.25,0.0
dynamic,180,20,180.375,3.3009055209055207,3.3000000000000114,3.3000000000000114,0.0025
none,180,40,98.0,140.5755102040816,263.40999999999997,274.40999999999997,0.0
static,180,40,180.10666666666665,3.410000000000004,3.410000000000025,3.410000000000025,0.0
dynamic,180,40,179.87833333333333,3.468861693552123,3.4680000000000177,3.4680000000000177,0.002916666666666667
none,180,60,97.0,141.86372852233677,266.57000000000005,277.57000000000005,0.0
static,180,60,180.07333333333332,3.570000000000003,3.57000000000005,3.57000000000005,0.0
dynamic,180,60,179.85,3.637195440644986,3.636000000000024,3.636000000000024,0.004583333333333333
none,180,80,97.0,144.30042955326465,269.73,280.73,0.0
static,180,80,180.43,3.730000000000009,3.730000000000018,3.730000000000018,0.0
dynamic,180,80,179.78,3.8061044239255244,3.804000000000002,3.804000000000002,0.005416666666666667
none,240,20,99.0,180.3157239057239,339.25,352.26000000000204,0.0
static,240,20,239.805,3.25,3.25,3.25,0.0
dynamic,240,20,239.70166666666665,3.512409870603041,4.300000000000011,5.300000000000011,0.03726851851851853
none,240,40,98.0,180.9260884353741,340.40999999999997,354.40999999999997,0.0
static,240,40,239.93333333333334,3.410000000000004,3.410000000000025,3.410000000000025,0.0
dynamic,240,40,240.80666666666667,3.6761683785055785,4.468000000000018,5.468000000000018,0.037592592592592594
none,240,60,97.0,182.8647079037801,342.6199999999957,357.57000000000005,0.0
static,240,60,242.15333333333334,3.5700000000000025,3.57000000000005,3.57000000000005,0.0
dynamic,240,60,240.72833333333332,3.843287606361255,4.636000000000024,5.636000000000024,0.04083333333333333
none,240,80,97.0,182.67314432989693,342.77999999999565,357.73,0.0
static,240,80,240.46333333333334,3.7300000000000084,3.730000000000018,3.730000000000018,0.0
dynamic,240,80,240.11,4.015743228797898,4.804000000000002,5.804000000000002,0.041666666666666664
none,300,20,99.0,204.37358585858587,385.29999999999563,401.26000000000204,0.0
static,300,20,299.3833333333333,3.25,3.25,3.25,0.0
dynamic,300,20,299.645,3.679076351460339,4.300000000000011,5.300000000000011,0.10444444444444444
none,300,40,98.0,205.43384353741496,386.4599999999956,403.40999999999997,0.0
static,300,40,300.20666666666665,3.410000000000005,3.410000000000025,3.410000000000025,0.0
dynamic,300,40,299.27666666666664,3.9111406836483518,4.468000000000018,5.468000000000018,0.11259259259259259
none,300,60,97.0,207.35726804123712,389.6199999999957,405.5800000000021,0.0
static,300,60,300.1933333333333,3.570000000000002,3.57000000000005,3.57000000000005,0.0
dynamic,300,60,300.175,4.200176452624862,4.636000000000024,5.636000000000024,0.13416666666666666
none,300,80,97.0,207.10118556701033,389.77999999999565,406.73,0.0
static,300,80,300.235,3.7300000000000093,3.730000000000018,3.730000000000018,0.0
dynamic,300,80,297.645,4.363374422550339,4.804000000000002,5.804000000000002,0.12276620370370371
