model,device,prompt_length,gen_tokens,run_index,latency_ms
Qwen/Qwen2.5-0.5B,cpu,32,8,0,1340.0905999587849
Qwen/Qwen2.5-0.5B,cpu,32,8,1,1355.5780000751838
Qwen/Qwen2.5-0.5B,cpu,32,8,2,1348.3468999620527
Qwen/Qwen2.5-0.5B,cpu,32,8,3,1336.081700050272
Qwen/Qwen2.5-0.5B,cpu,32,8,4,2497.425099951215
Qwen/Qwen2.5-0.5B,cpu,32,8,5,1846.195699996315
Qwen/Qwen2.5-0.5B,cpu,32,8,6,1733.7480999995023
Qwen/Qwen2.5-0.5B,cpu,32,8,7,1583.3736000349745
Qwen/Qwen2.5-0.5B,cpu,32,8,8,1345.5830999882892
Qwen/Qwen2.5-0.5B,cpu,32,8,9,1296.5299000497907
Qwen/Qwen2.5-0.5B,cpu,32,8,10,1622.0407999353483
Qwen/Qwen2.5-0.5B,cpu,32,8,11,1892.930299974978
Qwen/Qwen2.5-0.5B,cpu,32,8,12,1992.918699979782
Qwen/Qwen2.5-0.5B,cpu,32,8,13,1300.818599993363
Qwen/Qwen2.5-0.5B,cpu,32,8,14,1377.777099958621
Qwen/Qwen2.5-0.5B,cpu,32,8,15,1345.4548999434337
Qwen/Qwen2.5-0.5B,cpu,32,8,16,1535.0691999774426
Qwen/Qwen2.5-0.5B,cpu,32,8,17,1538.5669000679627
Qwen/Qwen2.5-0.5B,cpu,32,8,18,1700.2579000545666
Qwen/Qwen2.5-0.5B,cpu,32,8,19,1855.6923000141978
Qwen/Qwen2.5-0.5B,cpu,32,32,0,5057.7656999230385
Qwen/Qwen2.5-0.5B,cpu,32,32,1,5415.04920006264
Qwen/Qwen2.5-0.5B,cpu,32,32,2,5031.136200064793
Qwen/Qwen2.5-0.5B,cpu,32,32,3,5804.073099978268
Qwen/Qwen2.5-0.5B,cpu,32,32,4,4602.068700012751
Qwen/Qwen2.5-0.5B,cpu,32,32,5,5395.919400034472
Qwen/Qwen2.5-0.5B,cpu,32,32,6,5567.299200105481
Qwen/Qwen2.5-0.5B,cpu,32,32,7,9218.789299950004
Qwen/Qwen2.5-0.5B,cpu,32,32,8,6981.923799961805
Qwen/Qwen2.5-0.5B,cpu,32,32,9,6638.824899913743
Qwen/Qwen2.5-0.5B,cpu,32,32,10,6378.145900089294
Qwen/Qwen2.5-0.5B,cpu,32,32,11,6972.723699989729
Qwen/Qwen2.5-0.5B,cpu,32,32,12,5693.949399981648
Qwen/Qwen2.5-0.5B,cpu,32,32,13,5659.717199974693
Qwen/Qwen2.5-0.5B,cpu,32,32,14,5531.914900057018
Qwen/Qwen2.5-0.5B,cpu,32,32,15,5774.409499950707
Qwen/Qwen2.5-0.5B,cpu,32,32,16,6057.459799922071
Qwen/Qwen2.5-0.5B,cpu,32,32,17,5765.811700024642
Qwen/Qwen2.5-0.5B,cpu,32,32,18,5563.134000054561
Qwen/Qwen2.5-0.5B,cpu,32,32,19,4920.726999989711
Qwen/Qwen2.5-0.5B,cpu,32,64,0,10691.337199998088
Qwen/Qwen2.5-0.5B,cpu,32,64,1,9271.673999959603
Qwen/Qwen2.5-0.5B,cpu,32,64,2,9897.935300017707
Qwen/Qwen2.5-0.5B,cpu,32,64,3,10782.678400049917
Qwen/Qwen2.5-0.5B,cpu,32,64,4,13508.326099952683
Qwen/Qwen2.5-0.5B,cpu,32,64,5,10940.943800029345
Qwen/Qwen2.5-0.5B,cpu,32,64,6,11132.449600030668
Qwen/Qwen2.5-0.5B,cpu,32,64,7,10593.30740000587
