model,device,prompt_length,gen_tokens,mean_latency_ms,std_latency_ms,repetitions
Qwen/Qwen2.5-0.5B,cpu,32,8,1592.2239699983038,302.309778621152,20
Qwen/Qwen2.5-0.5B,cpu,32,32,5901.542130002053,980.6854088302481,20
Qwen/Qwen2.5-0.5B,cpu,32,64,10080.309445009334,1252.9782341665143,20
Qwen/Qwen2.5-0.5B,cpu,128,8,2209.9186550069135,246.86472755006088,20
Qwen/Qwen2.5-0.5B,cpu,128,32,5709.289660002105,725.2542224034279,20
Qwen/Qwen2.5-0.5B,cpu,128,64,9533.854785002768,681.4942073544211,20
Qwen/Qwen2.5-0.5B,cpu,512,8,4836.455765017308,652.5382252023702,20
Qwen/Qwen2.5-0.5B,cpu,512,32,8743.343550019199,783.910546965171,20
Qwen/Qwen2.5-0.5B,cpu,512,64,21652.685900003416,5692.616309381078,20
Qwen/Qwen2.5-0.5B,cpu,1024,8,8933.20089498884,889.1515459586226,20
Qwen/Qwen2.5-0.5B,cpu,1024,32,14863.1925600057,4094.783510213497,20
Qwen/Qwen2.5-0.5B,cpu,1024,64,19769.229284999892,4573.401588505733,20
